Assigned to,,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,z_par_median,z_k_median,z_par_q1,z_par_top1pc,z_kq5_cond_parq1,z_ktop1pc_cond_parq1,z_mr_kq5_pq1,z_mr_ktop1_pq1,z_trend_parq1,z_trend_bottom40,z_count,dis^2_to_1,dis^2_to_2,dis^2_to_3,dis^2_to_4,dis^2_to_5,min_dis^2
1,13,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666667,-0.895731572,0.575715713,1.216855165,-0.260154932,1.084576326,-0.075046017,4.746036082,1.07363544,-0.53693565,-0.418011805,-0.030314574,27.0584195,32.75354846,69.6344881,38.04981648,40.44377189,27.0584195
1,14,Technical Career Institutes,New York,NY,29700,31300,40.302402,0.029217871,19.843748,0.1431327,7.9975071,0.057685915,-1.35367,-2.8605595,562,-1.686223739,-0.436241894,3.149622169,-0.526139716,0.0169796,-0.345667282,4.694043399,0.035442494,-0.259199674,-0.276095838,-0.049574232,24.07165678,53.8407895,103.2123493,46.77470005,44.33787499,24.07165678
1,15,University Of Texas - Pan American,Brownsville,TX,31700,39300,38.702602,0.29801774,19.76301,0.64955068,7.6487989,0.25139302,-11.182245,-5.3661623,1723.666667,-1.615957769,0.186501249,2.968328208,-0.431646419,0.011176179,-0.105143089,4.428756727,1.896728285,-2.401769384,-0.620845003,0.000403362,29.12365548,52.77796374,93.002513,52.91949471,54.64813296,29.12365548
1,16,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333,-0.980050737,0.583500002,0.980759388,-0.339192806,1.152168022,-0.01122991,4.347509021,1.204153679,-0.952694265,-1.371843083,-0.009678202,26.14918526,29.73646128,68.08768297,35.397433,40.03534886,26.14918526
1,17,Crimson Technical College,Los Angeles,CA,44700,37600,25.033554,0.55235308,30.048824,0.08228939,7.5222888,0.020599959,2.6844094,-10.693293,156,-1.159228961,0.054168331,1.419312176,-0.342237949,0.750517176,-0.374564929,4.332511661,-0.320907692,0.621077132,-1.353811879,-0.067041294,23.13501361,35.40104985,83.73338391,32.97745569,34.07252608,23.13501361
1,18,Wood Tobe - Coburn School,New York,NY,29500,24500,41.312565,0.11516438,17.706722,0.016651679,7.3151016,0.006879235,-16.401064,-21.432161,129,-1.693250336,-0.965573566,3.26409676,-0.495926275,-0.13662914,-0.405739686,4.174889894,-0.452746886,-3.539440257,-2.831386765,-0.068202897,34.93800075,70.21422481,130.8667377,57.99931913,66.2092558,34.93800075
1,19,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,-1.984854113,-1.68172818,5.492581547,-0.333578583,-0.563358733,-0.10541517,4.069864099,3.283630999,-0.867589761,0.597426929,-0.06437391,45.93427675,89.8164623,123.9139748,82.10610036,75.39146792,45.93427675
1,20,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666667,-0.505755437,0.879302995,0.865071222,-0.088733393,1.137918163,-0.039117809,4.040358403,1.007395602,-1.521915835,-1.092847263,-0.028464614,24.36895578,25.01418712,62.09852978,31.42761765,37.70360548,24.36895578
1,21,Glendale Community College,Los Angeles,CA,40100,30500,32.359211,0.3114917,21.885973,0.56746334,7.0821285,0.18362667,-11.834276,-11.087843,1437,-1.320840693,-0.498516208,2.249476803,-0.426909813,0.163774076,-0.144130629,3.997650992,1.245577444,-2.543908185,-1.40809853,-0.011929703,22.6149501,44.77274153,89.68907313,41.01627111,45.84692036,22.6149501
1,22,South Texas College,Brownsville,TX,23900,27500,52.360695,0.071010314,13.195425,0.23679268,6.9092164,0.12398629,-18.819628,-11.532767,1881.333333,-1.889995053,-0.732044887,4.516102789,-0.511448095,-0.460899715,-0.301183295,3.866104686,0.672507128,-4.066672533,-1.469316204,0.007186548,37.16897306,78.83595479,132.5510158,68.36412731,72.76532943,37.16897306
